Time,Symbol,Action,Price,SL,Lots,Desc,MagicNumber
2026-02-11 03:42:12,XAUUSD,LONG,2024.43,2019.43,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2022.81,2027.81,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2021.32,2026.32,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2021.15,2026.15,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2018.13,2013.13,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2019.48,2024.48,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2014.6,2009.6,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2016.59,2021.59,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2019.27,2014.27,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2022.24,2017.24,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2020.16,2025.16,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2024.22,2029.22,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2021.55,2026.55,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2018.77,2013.77,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2014.67,2009.67,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2012.64,2007.64,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2014.43,2019.43,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2016.55,2011.55,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2016.48,2011.48,0.1,Dummy Trade for Stress Test,123456
