Time,Price,L0_Session,L1_Bias,L2_Zone,L3_Liq,L4_mBOS,L5_Disp,Final_Action,Reason
2026-01-16 17:25:00,4611.33,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 17:30:00,4613.24,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 17:35:00,4612.94,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 17:40:00,4615.68,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 17:45:00,4613.76,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 17:50:00,4613.92,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 17:55:00,4612.69,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 18:00:00,4610.27,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 18:05:00,4610.36,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 18:10:00,4610.92,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 18:15:00,4612.02,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 18:20:00,4605.84,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 18:25:00,4606.53,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 18:30:00,4603.32,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 18:35:00,4603.64,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 18:40:00,4603.53,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 18:45:00,4605.07,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 18:50:00,4600.33,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 18:55:00,4601.97,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 19:00:00,4598.81,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 19:05:00,4597.29,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 19:10:00,4596.44,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 19:15:00,4587.60,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 19:20:00,4590.84,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 19:25:00,4587.03,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 19:30:00,4594.88,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 19:35:00,4591.95,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 19:40:00,4599.58,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 19:45:00,4601.92,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 19:50:00,4598.59,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 19:55:00,4602.03,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 20:00:00,4603.85,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 20:05:00,4603.86,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 20:10:00,4607.22,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 20:15:00,4604.64,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 20:20:00,4602.36,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 20:25:00,4599.16,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 20:30:00,4606.89,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 20:35:00,4604.83,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 20:40:00,4608.77,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 20:45:00,4613.98,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 20:50:00,4613.63,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 20:55:00,4607.91,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 21:00:00,4615.00,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 21:05:00,4617.48,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 21:10:00,4616.13,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 21:15:00,4601.84,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 21:20:00,4588.65,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 21:25:00,4565.19,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 21:30:00,4544.39,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 21:35:00,4548.33,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 21:40:00,4555.62,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 21:45:00,4570.75,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 21:50:00,4570.73,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 21:55:00,4571.21,PASS,PASS,FAIL,SKIP,SKIP,SKIP,NO_TRADE,ZoneQualityLayer: Zone quality low (2/3)
2026-01-16 22:00:00,4579.13,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 22:05:00,4586.72,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 22:10:00,4592.87,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 22:15:00,4590.56,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 22:20:00,4591.78,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 22:25:00,4591.82,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 22:30:00,4589.71,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 22:35:00,4594.64,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 22:40:00,4596.36,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 22:45:00,4587.05,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 22:50:00,4585.26,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 22:55:00,4591.30,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (1/2)
2026-01-16 23:00:00,4588.48,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 23:05:00,4589.82,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 23:10:00,4590.97,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 23:15:00,4584.44,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 23:20:00,4584.64,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 23:25:00,4578.63,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 23:30:00,4583.48,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 23:35:00,4585.25,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 23:40:00,4580.64,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 23:45:00,4580.96,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 23:50:00,4581.76,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-16 23:55:00,4581.43,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,NO_TRADE,H1StructuralBiasLayer: H1 Bias weak (0/2)
2026-01-17 00:00:00,4587.72,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 21)
2026-01-17 00:05:00,4585.44,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 21)
2026-01-17 00:10:00,4584.47,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 21)
2026-01-17 00:15:00,4584.91,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 21)
2026-01-17 00:20:00,4588.41,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 21)
2026-01-17 00:25:00,4590.19,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 21)
2026-01-17 00:30:00,4594.23,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 21)
2026-01-17 00:35:00,4593.01,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 21)
2026-01-17 00:40:00,4595.43,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 21)
2026-01-17 00:45:00,4589.52,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 21)
2026-01-17 00:50:00,4587.87,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 21)
2026-01-17 00:55:00,4582.71,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 21)
2026-01-17 01:00:00,4585.55,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 22)
2026-01-17 01:05:00,4584.53,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 22)
2026-01-17 01:10:00,4584.13,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 22)
2026-01-17 01:15:00,4583.20,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 22)
2026-01-17 01:20:00,4585.33,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 22)
2026-01-17 01:25:00,4584.04,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 22)
2026-01-17 01:30:00,4588.37,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 22)
2026-01-17 01:35:00,4588.81,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 22)
2026-01-17 01:40:00,4589.45,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 22)
2026-01-17 01:45:00,4589.94,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 22)
2026-01-17 01:50:00,4591.13,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 22)
2026-01-17 01:55:00,4590.59,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 22)
2026-01-17 02:00:00,4594.66,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 23)
2026-01-17 02:05:00,4594.77,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 23)
2026-01-17 02:10:00,4592.99,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 23)
2026-01-17 02:15:00,4589.66,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 23)
2026-01-17 02:20:00,4589.60,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 23)
2026-01-17 02:25:00,4588.39,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 23)
2026-01-17 02:30:00,4584.06,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 23)
2026-01-17 02:35:00,4585.37,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 23)
2026-01-17 02:40:00,4584.26,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 23)
2026-01-17 02:45:00,4585.67,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 23)
2026-01-17 02:50:00,4588.87,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 23)
2026-01-17 02:55:00,4581.99,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 23)
2026-01-17 03:00:00,4582.86,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 0)
2026-01-17 03:05:00,4583.70,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 0)
2026-01-17 03:10:00,4586.70,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 0)
2026-01-17 03:15:00,4598.41,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 0)
2026-01-17 03:20:00,4593.29,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 0)
2026-01-17 03:25:00,4592.44,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 0)
2026-01-17 03:30:00,4591.92,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 0)
2026-01-17 03:35:00,4594.95,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 0)
2026-01-17 03:40:00,4594.35,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 0)
2026-01-19 05:00:00,4649.10,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 2)
2026-01-19 05:05:00,4655.14,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 2)
2026-01-19 05:10:00,4654.65,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 2)
2026-01-19 05:15:00,4663.88,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 2)
2026-01-19 05:20:00,4673.37,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 2)
2026-01-19 05:25:00,4678.78,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 2)
2026-01-19 05:30:00,4676.69,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 2)
2026-01-19 05:35:00,4674.02,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 2)
2026-01-19 05:40:00,4671.98,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 2)
2026-01-19 05:45:00,4666.37,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 2)
2026-01-19 05:50:00,4672.29,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 2)
2026-01-19 05:55:00,4672.84,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 2)
2026-01-19 06:00:00,4668.74,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 3)
2026-01-19 06:05:00,4666.44,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 3)
2026-01-19 06:10:00,4665.79,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 3)
2026-01-19 06:15:00,4663.60,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 3)
2026-01-19 06:20:00,4676.96,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 3)
2026-01-19 06:25:00,4675.68,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 3)
2026-01-19 06:30:00,4678.29,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,NO_TRADE,SessionFilterLayer: Outside trading session (UTC 3)
